PrimaryDiagnosisCode,PrimaryDiagnosisDescription,NumberOfDiagnoses
I97.611,"Postprocedural hemorrhage and hematoma of a circulatory system organ or structure following cardiac bypass",128
I25.810,"Atherosclerosis of coronary artery bypass graft(s) without angina pectoris",128
T43.3X6,"Underdosing of phenothiazine antipsychotics and neuroleptics",128
B57,"Chagas' disease",128
J09.X3,"Influenza due to identified novel influenza A virus with gastrointestinal manifestations",128
M24.2,"Disorder of ligament",128
I51.0,""Cardiac septal defect",128
C90.11,"Plasma cell leukemia in remission",128
P56,"Hydrops fetalis due to hemolytic disease",128
C69.62,"Malignant neoplasm of left orbit",128
K71.1,"Toxic liver disease with hepatic necrosis",128
H16.43,"Localized vascularization of cornea",128
C68.0,"Malignant neoplasm of urethra",128
M06.012,""Rheumatoid arthritis without rheumatoid factor",128
H47.632,""Disorders of visual cortex in (due to) neoplasm",128
O9A.111,""Malignant neoplasm complicating pregnancy",128
J84.842,"Pulmonary interstitial glycogenosis",128
C40.1,"Malignant neoplasm of short bones of upper limb",128
D33.4,"Benign neoplasm of spinal cord",128
M1A.362,""Chronic gout due to renal impairment",128
C72.41,"Malignant neoplasm of right acoustic nerve",128
P83.2,"Hydrops fetalis not due to hemolytic disease",128
D36.12,""Benign neoplasm of peripheral nerves and autonomic nervous system",128
L62,"Nail disorders in diseases classified elsewhere",128
F45.41,"Pain disorder exclusively related to psychological factors",128
L86,"Keratoderma in diseases classified elsewhere",128
E25.0,"Congenital adrenogenital disorders associated with enzyme deficiency",128
E08.9,"Diabetes mellitus due to underlying condition without complications",128
O99.351,""Diseases of the nervous system complicating pregnancy",128
M05.472,"Rheumatoid myopathy with rheumatoid arthritis of left ankle and foot",128
M24.25,""Disorder of ligament",127
C17.1,"Malignant neoplasm of jejunum",127
M24.252,""Disorder of ligament",127
M05.45,"Rheumatoid myopathy with rheumatoid arthritis of hip",127
E08.00,"Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)",127
N13.2,"Hydronephrosis with renal and ureteral calculous obstruction",127
T40,""Poisoning by",127
O24.011,""Pre-existing diabetes mellitus",127
O24.03,""Pre-existing diabetes mellitus",127
C94.22,""Acute megakaryoblastic leukemia",127
B95.1,""Streptococcus",127
F31.71,""Bipolar disorder",127
D41.2,"Neoplasm of uncertain behavior of ureter",127
Z12.12,"Encounter for screening for malignant neoplasm of rectum",127
C09,"Malignant neoplasm of tonsil",127
C34.8,"Malignant neoplasm of overlapping sites of bronchus and lung",127
C76.51,"Malignant neoplasm of right lower limb",127
C64.2,""Malignant neoplasm of left kidney",127
D57.2,"Sickle-cell/Hb-C disease",127
D48.5,"Neoplasm of uncertain behavior of skin",127
O99.512,""Diseases of the respiratory system complicating pregnancy",127
C11.1,"Malignant neoplasm of posterior wall of nasopharynx",127
E77,"Disorders of glycoprotein metabolism",127
H59,""Intraoperative and postprocedural complications and disorders of eye and adnexa",127
M63.821,""Disorders of muscle in diseases classified elsewhere",127
M51.15,""Intervertebral disc disorders with radiculopathy",127
C13.0,"Malignant neoplasm of postcricoid region",127
B44.81,"Allergic bronchopulmonary aspergillosis",127
E09.62,"Drug or chemical induced diabetes mellitus with skin complications",127
F91.2,""Conduct disorder",127
O29.12,"Cardiac failure due to anesthesia during pregnancy",127
R47.82,"Fluency disorder in conditions classified elsewhere",127
M35.2,Beh,127
M10.311,""Gout due to renal impairment",127
C91.41,""Hairy cell leukemia",127
C51.2,"Malignant neoplasm of clitoris",127
C02.8,"Malignant neoplasm of overlapping sites of tongue",127
F90.1,""Attention-deficit hyperactivity disorder",127
M63.872,""Disorders of muscle in diseases classified elsewhere",127
F34.1,"Dysthymic disorder",127
M06.34,""Rheumatoid nodule",127
E10.4,"Type 1 diabetes mellitus with neurological complications",127
C93.00,""Acute monoblastic/monocytic leukemia",127
C63.2,"Malignant neoplasm of scrotum",127
M51.17,""Intervertebral disc disorders with radiculopathy",127
T46.0,""Poisoning by",127
C47.4,"Malignant neoplasm of peripheral nerves of abdomen",127
A98.2,"Kyasanur Forest disease",126
B97.11,"Coxsackievirus as the cause of diseases classified elsewhere",126
Z95.0,"Presence of cardiac pacemaker",126
M05.461,"Rheumatoid myopathy with rheumatoid arthritis of right knee",126
H35.012,""Changes in retinal vascular appearance",126
T43.3X4,""Poisoning by phenothiazine antipsychotics and neuroleptics",126
E09.329,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema",126
H94.0,"Acoustic neuritis in infectious and parasitic diseases classified elsewhere",126
C74.11,"Malignant neoplasm of medulla of right adrenal gland",126
Z12.11,"Encounter for screening for malignant neoplasm of colon",126
E08.1,"Diabetes mellitus due to underlying condition with ketoacidosis",126
M49.82,""Spondylopathy in diseases classified elsewhere",126
M49.89,""Spondylopathy in diseases classified elsewhere",126
C26.1,"Malignant neoplasm of spleen",126
F44.7,"Conversion disorder with mixed symptom presentation",126
I12.0,"Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease",126
O10.2,""Pre-existing hypertensive chronic kidney disease complicating pregnancy",126
H16.44,"Deep vascularization of cornea",126
C71.3,"Malignant neoplasm of parietal lobe",126
M90.542,""Osteonecrosis in diseases classified elsewhere",126
R93.1,"Abnormal findings on diagnostic imaging of heart and coronary circulation",126
O24.410,""Gestational diabetes mellitus in pregnancy",126
M06.371,""Rheumatoid nodule",126
E09.32,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy",126
A48.1,"Legionnaires' disease",126
D31.0,"Benign neoplasm of conjunctiva",126
E09.35,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy",126
O26.6,""Liver and biliary tract disorders in pregnancy",126
C18.4,"Malignant neoplasm of transverse colon",126
D68.312,"Antiphospholipid antibody with hemorrhagic disorder",126
M90.552,""Osteonecrosis in diseases classified elsewhere",126
K50,"Crohn's disease [regional enteritis]",126
R04.81,"Acute idiopathic pulmonary hemorrhage in infants",126
E09.4,"Drug or chemical induced diabetes mellitus with neurological complications",126
D44.1,"Neoplasm of uncertain behavior of adrenal gland",126
Z15.04,"Genetic susceptibility to malignant neoplasm of endometrium",126
M50.13,""Cervical disc disorder with radiculopathy",126
H47.532,""Disorders of visual pathways in (due to) vascular disorders",126
C92.6,"Acute myeloid leukemia with 11q23-abnormality",126
E10.621,"Type 1 diabetes mellitus with foot ulcer",126
O99.63,"Diseases of the digestive system complicating the puerperium",126
T46.0X1,""Poisoning by cardiac-stimulant glycosides and drugs of similar action",126
G47.61,"Periodic limb movement disorder",126
E11.349,"Type 2 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema",126
C57.2,"Malignant neoplasm of round ligament",126
F32.1,""Major depressive disorder",126
O99.41,"Diseases of the circulatory system complicating pregnancy",126
I25.720,"Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris",126
M05.351,"Rheumatoid heart disease with rheumatoid arthritis of right hip",126
Z95.1,"Presence of aortocoronary bypass graft",126
B00.7,"Disseminated herpesviral disease",126
N25,"Disorders resulting from impaired renal tubular function",126
I25.111,"Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm",126
M11.051,""Hydroxyapatite deposition disease",126
I34,"Nonrheumatic mitral valve disorders",125
I67.841,"Reversible cerebrovascular vasoconstriction syndrome",125
F18.15,"Inhalant abuse with inhalant-induced psychotic disorder",125
F90.0,""Attention-deficit hyperactivity disorder",125
C78.5,"Secondary malignant neoplasm of large intestine and rectum",125
E10.51,"Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene",125
F55,"Abuse of non-psychoactive substances",125
N18.2,""Chronic kidney disease",125
H18.033,""Corneal deposits in metabolic disorders",125
D35.5,"Benign neoplasm of carotid body",125
M06.23,""Rheumatoid bursitis",125
I26.02,"Saddle embolus of pulmonary artery with acute cor pulmonale",125
L94.5,"Poikiloderma vasculare atrophicans",125
K76.7,"Hepatorenal syndrome",125
E75.241,"Niemann-Pick disease type B",125
D31.41,"Benign neoplasm of right ciliary body",125
J14,"Pneumonia due to Hemophilus influenzae",125
M05.331,"Rheumatoid heart disease with rheumatoid arthritis of right wrist",125
D44.6,"Neoplasm of uncertain behavior of carotid body",125
C74.0,"Malignant neoplasm of cortex of adrenal gland",125
E08.621,"Diabetes mellitus due to underlying condition with foot ulcer",125
C34,"Malignant neoplasm of bronchus and lung",125
M05.471,"Rheumatoid myopathy with rheumatoid arthritis of right ankle and foot",125
D57.20,"Sickle-cell/Hb-C disease without crisis",125
C51.1,"Malignant neoplasm of labium minus",125
M90.821,""Osteopathy in diseases classified elsewhere",125
N48.32,"Priapism due to disease classified elsewhere",125
M49.88,""Spondylopathy in diseases classified elsewhere",125
M02.312,""Reiter's disease",125
D27,"Benign neoplasm of ovary",125
F32.2,""Major depressive disorder",125
C11.0,"Malignant neoplasm of superior wall of nasopharynx",125
H81,"Disorders of vestibular function",125
H04,"Disorders of lacrimal system",125
I25.811,"Atherosclerosis of native coronary artery of transplanted heart without angina pectoris",125
B08.71,"Tanapox virus disease",125
B08.2,"Exanthema subitum [sixth disease]",125
E10.3,"Type 1 diabetes mellitus with ophthalmic complications",125
J12.2,"Parainfluenza virus pneumonia",125
G46,"Vascular syndromes of brain in cerebrovascular diseases",125
B97.34,""Human T-cell lymphotrophic virus",125
M1A.33,""Chronic gout due to renal impairment",125
K23,"Disorders of esophagus in diseases classified elsewhere",125
C84.1,S,125
E08.349,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema",125
F01.5,"Vascular dementia",125
J66.1,"Flax-dressers' disease",125
M90.511,""Osteonecrosis in diseases classified elsewhere",125
D43.3,"Neoplasm of uncertain behavior of cranial nerves",125
G21.4,"Vascular parkinsonism",125
F18.151,"Inhalant abuse with inhalant-induced psychotic disorder with hallucinations",125
D38.3,"Neoplasm of uncertain behavior of mediastinum",125
O03.33,"Metabolic disorder following incomplete spontaneous abortion",124
F45.4,"Pain disorders related to psychological factors",124
K71.4,"Toxic liver disease with chronic lobular hepatitis",124
H02.875,"Vascular anomalies of left lower eyelid",124
M05.74,"Rheumatoid arthritis with rheumatoid factor of hand without organ or systems involvement",124
M06.251,""Rheumatoid bursitis",124
K77,"Liver disorders in diseases classified elsewhere",124
C94.20,"Acute megakaryoblastic leukemia not having achieved remission",124
G59,"Mononeuropathy in diseases classified elsewhere",124
Z13.83,"Encounter for screening for respiratory disorder NEC",124
M05.372,"Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot",124
M05.39,"Rheumatoid heart disease with rheumatoid arthritis of multiple sites",124
M90.671,""Osteitis deformans in neoplastic diseases",124
T86.290,"Cardiac allograft vasculopathy",124
C34.01,"Malignant neoplasm of right main bronchus",124
I25.82,"Chronic total occlusion of coronary artery",124
H18.82,"Corneal disorder due to contact lens",124
C30.0,"Malignant neoplasm of nasal cavity",124
M02.37,""Reiter's disease",124
F68.11,"Factitious disorder with predominantly psychological signs and symptoms",124
K67,"Disorders of peritoneum in infectious diseases classified elsewhere",124
Z13.82,"Encounter for screening for musculoskeletal disorder",124
I36,"Nonrheumatic tricuspid valve disorders",124
C24.0,"Malignant neoplasm of extrahepatic bile duct",124
T70.3,"Caisson disease [decompression sickness]",124
F14.182,"Cocaine abuse with cocaine-induced sleep disorder",124
O24.414,""Gestational diabetes mellitus in pregnancy",124
E10.610,"Type 1 diabetes mellitus with diabetic neuropathic arthropathy",124
E10.11,"Type 1 diabetes mellitus with ketoacidosis with coma",124
M05.44,"Rheumatoid myopathy with rheumatoid arthritis of hand",124
E10.5,"Type 1 diabetes mellitus with circulatory complications",124
F51.04,"Psychophysiologic insomnia",124
D48.3,"Neoplasm of uncertain behavior of retroperitoneum",124
G47.27,"Circadian rhythm sleep disorder in conditions classified elsewhere",124
D41.12,"Neoplasm of uncertain behavior of left renal pelvis",124
C79.71,"Secondary malignant neoplasm of right adrenal gland",124
O99.713,""Diseases of the skin and subcutaneous tissue complicating pregnancy",123
E08.3,"Diabetes mellitus due to underlying condition with ophthalmic complications",123
E09.43,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy",123
K50.00,"Crohn's disease of small intestine without complications",123
D55.3,"Anemia due to disorders of nucleotide metabolism",123
I25.84,"Coronary atherosclerosis due to calcified coronary lesion",123
H93.3,"Disorders of acoustic nerve",123
C65.1,"Malignant neoplasm of right renal pelvis",123
C92.52,""Acute myelomonocytic leukemia",123
H16.432,""Localized vascularization of cornea",123
E08.630,"Diabetes mellitus due to underlying condition with periodontal disease",123
E10.349,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema",123
H16.433,""Localized vascularization of cornea",123
I25.751,"Atherosclerosis of native coronary artery of transplanted heart with angina pectoris with documented spasm",123
C91.6,"Prolymphocytic leukemia of T-cell type",123
D37.030,"Neoplasm of uncertain behavior of the parotid salivary glands",123
M05.172,"Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot",123
E72.4,"Disorders of ornithine metabolism",123
C79.11,"Secondary malignant neoplasm of bladder",123
G96.1,""Disorders of meninges",123
E09.349,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema",123
C16.8,"Malignant neoplasm of overlapping sites of stomach",123
I25.11,"Atherosclerotic heart disease of native coronary artery with angina pectoris",123
I08.3,""Combined rheumatic disorders of mitral",123
F68.12,"Factitious disorder with predominantly physical signs and symptoms",123
H05.323,"Deformity of bilateral orbits due to bone disease",123
F33.0,""Major depressive disorder",123
M51.14,""Intervertebral disc disorders with radiculopathy",123
E08.610,"Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy",123
C64.1,""Malignant neoplasm of right kidney",123
M12.111,""Kaschin-Beck disease",123
Q61.4,"Renal dysplasia",123
H36,"Retinal disorders in diseases classified elsewhere",123
B97.31,"Lentivirus as the cause of diseases classified elsewhere",123
Z11,"Encounter for screening for infectious and parasitic diseases",123
M11.08,""Hydroxyapatite deposition disease",123
G47.25,""Circadian rhythm sleep disorder",123
F14.150,"Cocaine abuse with cocaine-induced psychotic disorder with delusions",123
M02.321,""Reiter's disease",123
M10.34,""Gout due to renal impairment",123
F31.0,""Bipolar disorder",123
D68.0,"Von Willebrand's disease",122
C03,"Malignant neoplasm of gum",122
H32,"Chorioretinal disorders in diseases classified elsewhere",122
M05.4,"Rheumatoid myopathy with rheumatoid arthritis",122
C84.11,""S",122
F31.5,""Bipolar disorder",122
K08.42,"Partial loss of teeth due to periodontal diseases",122
T82.213,"Leakage of coronary artery bypass graft",122
I21.11,"ST elevation (STEMI) myocardial infarction involving right coronary artery",122
C72.1,"Malignant neoplasm of cauda equina",122
G70.1,"Toxic myoneural disorders",122
O24.430,""Gestational diabetes mellitus in the puerperium",122
I25.72,"Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris",122
Z13.5,"Encounter for screening for eye and ear disorders",122
M90.861,""Osteopathy in diseases classified elsewhere",122
G32.0,"Subacute combined degeneration of spinal cord in diseases classified elsewhere",122
C34.3,""Malignant neoplasm of lower lobe",122
K50.014,"Crohn's disease of small intestine with abscess",122
D30.22,"Benign neoplasm of left ureter",122
K90.81,"Whipple's disease",122
F44.81,"Dissociative identity disorder",122
E10.42,"Type 1 diabetes mellitus with diabetic polyneuropathy",122
D16.22,"Benign neoplasm of long bones of left lower limb",122
M06.29,""Rheumatoid bursitis",122
D31.4,"Benign neoplasm of ciliary body",122
C66.1,"Malignant neoplasm of right ureter",122
M05.73,"Rheumatoid arthritis with rheumatoid factor of wrist without organ or systems involvement",122
K76.5,"Hepatic veno-occlusive disease",122
C93.01,""Acute monoblastic/monocytic leukemia",122
G20,"Parkinson's disease",122
C79.3,"Secondary malignant neoplasm of brain and cerebral meninges",122
F06.34,"Mood disorder due to known physiological condition with mixed features",122
O10.23,"Pre-existing hypertensive chronic kidney disease complicating the puerperium",122
H82,"Vertiginous syndromes in diseases classified elsewhere",122
O9A.513,""Psychological abuse complicating pregnancy",122
M06.221,""Rheumatoid bursitis",122
C91.42,""Hairy cell leukemia",122
C84.18,""S",122
I46.2,"Cardiac arrest due to underlying cardiac condition",122
E71.3,"Disorders of fatty-acid metabolism",122
M01.X6,"Direct infection of knee in infectious and parasitic diseases classified elsewhere",122
O89.0,"Pulmonary complications of anesthesia during the puerperium",122
C90.10,"Plasma cell leukemia not having achieved remission",122
T46.0X2,""Poisoning by cardiac-stimulant glycosides and drugs of similar action",121
M63.841,""Disorders of muscle in diseases classified elsewhere",121
M06.06,""Rheumatoid arthritis without rheumatoid factor",121
C91.30,"Prolymphocytic leukemia of B-cell type not having achieved remission",121
D44,"Neoplasm of uncertain behavior of endocrine glands",121
M05.312,"Rheumatoid heart disease with rheumatoid arthritis of left shoulder",121
K90.0,"Celiac disease",121
P53,"Hemorrhagic disease of newborn",121
D37.0,""Neoplasm of uncertain behavior of lip",121
E11.21,"Type 2 diabetes mellitus with diabetic nephropathy",121
D12.4,"Benign neoplasm of descending colon",121
M06.312,""Rheumatoid nodule",121
D30.0,"Benign neoplasm of kidney",121
F31.31,""Bipolar disorder",121
D37.4,"Neoplasm of uncertain behavior of colon",121
H74.12,"Adhesive left middle ear disease",121
D55,"Anemia due to enzyme disorders",121
L90,"Atrophic disorders of skin",121
E09.5,"Drug or chemical induced diabetes mellitus with circulatory complications",121
K08.424,""Partial loss of teeth due to periodontal diseases",121
O99.282,""Endocrine",121
D40.12,"Neoplasm of uncertain behavior of left testis",121
M1A.31,""Chronic gout due to renal impairment",121
C04.8,"Malignant neoplasm of overlapping sites of floor of mouth",121
G71.1,"Myotonic disorders",121
M05.421,"Rheumatoid myopathy with rheumatoid arthritis of right elbow",121
D29.4,"Benign neoplasm of scrotum",121
M84.550,""Pathological fracture in neoplastic disease",121
M05.27,"Rheumatoid vasculitis with rheumatoid arthritis of ankle and foot",121
M63.81,""Disorders of muscle in diseases classified elsewhere",121
F43.11,""Post-traumatic stress disorder",121
E11.51,"Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene",121
N37,"Urethral disorders in diseases classified elsewhere",121
C02.4,"Malignant neoplasm of lingual tonsil",121
C02.1,"Malignant neoplasm of border of tongue",120
J09.X1,"Influenza due to identified novel influenza A virus with pneumonia",120
C84.14,""S",120
M06.24,""Rheumatoid bursitis",120
C40.2,"Malignant neoplasm of long bones of lower limb",120
D31.1,"Benign neoplasm of cornea",120
H26.21,"Cataract with neovascularization",120
M31.30,"Wegener's granulomatosis without renal involvement",120
M05.332,"Rheumatoid heart disease with rheumatoid arthritis of left wrist",120
M06.36,""Rheumatoid nodule",120
B73.0,"Onchocerciasis with eye disease",120
N02.6,"Recurrent and persistent hematuria with dense deposit disease",120
M10.341,""Gout due to renal impairment",120
O03.36,"Cardiac arrest following incomplete spontaneous abortion",120
F10.14,"Alcohol abuse with alcohol-induced mood disorder",120
O99.42,"Diseases of the circulatory system complicating childbirth",120
D33.0,""Benign neoplasm of brain",120
E76,"Disorders of glycosaminoglycan metabolism",120
D57.01,"Hb-SS disease with acute chest syndrome",120
M90.651,""Osteitis deformans in neoplastic diseases",120
M05.711,"Rheumatoid arthritis with rheumatoid factor of right shoulder without organ or systems involvement",120
E10.649,"Type 1 diabetes mellitus with hypoglycemia without coma",120
M24.242,""Disorder of ligament",120
M05.5,"Rheumatoid polyneuropathy with rheumatoid arthritis",120
G54.3,""Thoracic root disorders",120
E09.359,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema",120
C24.8,"Malignant neoplasm of overlapping sites of biliary tract",120
C84.19,""S",120
O29.111,""Cardiac arrest due to anesthesia during pregnancy",120
M22.2X1,""Patellofemoral disorders",120
C56.1,"Malignant neoplasm of right ovary",120
M12.16,""Kaschin-Beck disease",120
H52,"Disorders of refraction and accommodation",120
F43.1,"Post-traumatic stress disorder (PTSD)",120
M84.561,""Pathological fracture in neoplastic disease",120
G51,"Facial nerve disorders",120
F18.14,"Inhalant abuse with inhalant-induced mood disorder",120
E74.02,"Pompe disease",120
M06.051,""Rheumatoid arthritis without rheumatoid factor",120
M10.36,""Gout due to renal impairment",119
Q61.0,"Congenital renal cyst",119
E74.0,"Glycogen storage disease",119
C01,"Malignant neoplasm of base of tongue",119
G53,"Cranial nerve disorders in diseases classified elsewhere",119
C51.8,"Malignant neoplasm of overlapping sites of vulva",119
F01.51,"Vascular dementia with behavioral disturbance",119
C91.0,"Acute lymphoblastic leukemia [ALL]",119
M05.17,"Rheumatoid lung disease with rheumatoid arthritis of ankle and foot",119
M05.56,"Rheumatoid polyneuropathy with rheumatoid arthritis of knee",119
Z13.21,"Encounter for screening for nutritional disorder",119
N72,"Inflammatory disease of cervix uteri",119
F06.3,"Mood disorder due to known physiological condition",119
C78.0,"Secondary malignant neoplasm of lung",119
C21,"Malignant neoplasm of anus and anal canal",119
C84.12,""S",119
N06.6,"Isolated proteinuria with dense deposit disease",119
M05.531,"Rheumatoid polyneuropathy with rheumatoid arthritis of right wrist",119
M84,"Disorder of continuity of bone",119
H93.0,"Degenerative and vascular disorders of ear",119
O03.32,"Renal failure following incomplete spontaneous abortion",119
D37,"Neoplasm of uncertain behavior of oral cavity and digestive organs",119
K50.80,"Crohn's disease of both small and large intestine without complications",119
H62,"Disorders of external ear in diseases classified elsewhere",119
M90.85,""Osteopathy in diseases classified elsewhere",119
M12.112,""Kaschin-Beck disease",119
Z48.3,"Aftercare following surgery for neoplasm",119
Y71.1,"Therapeutic (nonsurgical) and rehabilitative cardiovascular devices associated with adverse incidents",119
C40.22,"Malignant neoplasm of long bones of left lower limb",119
C38.1,"Malignant neoplasm of anterior mediastinum",118
K50.812,"Crohn's disease of both small and large intestine with intestinal obstruction",118
Z15.0,"Genetic susceptibility to malignant neoplasm",118
M24.22,""Disorder of ligament",118
D30.01,"Benign neoplasm of right kidney",118
P94,"Disorders of muscle tone of newborn",118
D29.3,"Benign neoplasm of epididymis",118
E10.34,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy",118
N75,"Diseases of Bartholin's gland",118
M90.551,""Osteonecrosis in diseases classified elsewhere",118
S25.4,"Injury of pulmonary blood vessels",118
T43.3X3,""Poisoning by phenothiazine antipsychotics and neuroleptics",118
Q25.5,"Atresia of pulmonary artery",118
C92.21,""Atypical chronic myeloid leukemia",118
M06.1,"Adult-onset Still's disease",118
M84.531,""Pathological fracture in neoplastic disease",118
C71.5,"Malignant neoplasm of cerebral ventricle",118
C94.02,""Acute erythroid leukemia",118
E09.331,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema",118
Q89.1,"Congenital malformations of adrenal gland",118
B97.5,"Reovirus as the cause of diseases classified elsewhere",118
H93.3X1,"Disorders of right acoustic nerve",118
M05.75,"Rheumatoid arthritis with rheumatoid factor of hip without organ or systems involvement",118
I08.0,"Rheumatic disorders of both mitral and aortic valves",118
C67.8,"Malignant neoplasm of overlapping sites of bladder",117
J20.1,"Acute bronchitis due to Hemophilus influenzae",117
G52.7,"Disorders of multiple cranial nerves",117
C17.0,"Malignant neoplasm of duodenum",117
G63,"Polyneuropathy in diseases classified elsewhere",117
C18.1,"Malignant neoplasm of appendix",117
C57.21,"Malignant neoplasm of right round ligament",117
K71.51,"Toxic liver disease with chronic active hepatitis with ascites",117
N99,""Intraoperative and postprocedural complications and disorders of genitourinary system",117
K68,"Disorders of retroperitoneum",117
Q62,"Congenital obstructive defects of renal pelvis and congenital malformations of ureter",117
M90.831,""Osteopathy in diseases classified elsewhere",117
F10.151,"Alcohol abuse with alcohol-induced psychotic disorder with hallucinations",117
M05.272,"Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot",117
I41,"Myocarditis in diseases classified elsewhere",117
C16,"Malignant neoplasm of stomach",116
C93.10,"Chronic myelomonocytic leukemia not having achieved remission",116
D31.42,"Benign neoplasm of left ciliary body",116
C13.2,"Malignant neoplasm of posterior wall of hypopharynx",116
E08.649,"Diabetes mellitus due to underlying condition with hypoglycemia without coma",116
F14.14,"Cocaine abuse with cocaine-induced mood disorder",116
Z12.2,"Encounter for screening for malignant neoplasm of respiratory organs",116
D31.31,"Benign neoplasm of right choroid",116
M90.82,""Osteopathy in diseases classified elsewhere",116
B97.0,"Adenovirus as the cause of diseases classified elsewhere",116
E10.41,"Type 1 diabetes mellitus with diabetic mononeuropathy",116
M05.772,"Rheumatoid arthritis with rheumatoid factor of left ankle and foot without organ or systems involvement",116
M06.05,""Rheumatoid arthritis without rheumatoid factor",116
F22,"Delusional disorders",116
I26.0,"Pulmonary embolism with acute cor pulmonale",116
I97.130,"Postprocedural heart failure following cardiac surgery",116
O10.21,"Pre-existing hypertensive chronic kidney disease complicating pregnancy",116
E09.2,"Drug or chemical induced diabetes mellitus with kidney complications",116
M51,""Thoracic",115
C33,"Malignant neoplasm of trachea",115
C49.4,"Malignant neoplasm of connective and soft tissue of abdomen",115
M05.442,"Rheumatoid myopathy with rheumatoid arthritis of left hand",115
N18.4,""Chronic kidney disease",115
D68.31,""Hemorrhagic disorder due to intrinsic circulating anticoagulants",115
O24.013,""Pre-existing diabetes mellitus",115
H43,"Disorders of vitreous body",115
H47.511,""Disorders of visual pathways in (due to) inflammatory disorders",115
C94.00,""Acute erythroid leukemia",114
C91.5,"Adult T-cell lymphoma/leukemia (HTLV-1-associated)",114
C54.3,"Malignant neoplasm of fundus uteri",114
K50.814,"Crohn's disease of both small and large intestine with abscess",114
C79.0,"Secondary malignant neoplasm of kidney and renal pelvis",114
C25.3,"Malignant neoplasm of pancreatic duct",114
M1A.39,""Chronic gout due to renal impairment",114
C91.00,"Acute lymphoblastic leukemia not having achieved remission",114
O10.11,"Pre-existing hypertensive heart disease complicating pregnancy",114
O89.1,"Cardiac complications of anesthesia during the puerperium",114
M90.52,""Osteonecrosis in diseases classified elsewhere",113
G37.3,"Acute transverse myelitis in demyelinating disease of central nervous system",113
F10.150,"Alcohol abuse with alcohol-induced psychotic disorder with delusions",112
D44.5,"Neoplasm of uncertain behavior of pineal gland",112
C62.11,"Malignant neoplasm of descended right testis",112
M24.232,""Disorder of ligament",112
M01.X5,"Direct infection of hip in infectious and parasitic diseases classified elsewhere",112
M05.171,"Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot",112
B97.32,"Oncovirus as the cause of diseases classified elsewhere",112
I11.9,"Hypertensive heart disease without heart failure",112
K91,""Intraoperative and postprocedural complications and disorders of digestive system",112
C92.A,"Acute myeloid leukemia with multilineage dysplasia",111
M1A.371,""Chronic gout due to renal impairment",111
M90.89,""Osteopathy in diseases classified elsewhere",111
M10.35,""Gout due to renal impairment",111
C94.6,""Myelodysplastic disease",111
M05.23,"Rheumatoid vasculitis with rheumatoid arthritis of wrist",111
E11.36,"Type 2 diabetes mellitus with diabetic cataract",110
M01,"Direct infections of joint in infectious and parasitic diseases classified elsewhere",110
H74.1,"Adhesive middle ear disease",110
M24.274,""Disorder of ligament",110
M84.534,""Pathological fracture in neoplastic disease",110
O29.1,"Cardiac complications of anesthesia during pregnancy",109
F45.42,"Pain disorder with related psychological factors",109
M90.841,""Osteopathy in diseases classified elsewhere",109
I97.11,"Postprocedural cardiac insufficiency",109
C18.0,"Malignant neoplasm of cecum",109
E25,"Adrenogenital disorders",109
P96.0,"Congenital renal failure",108
D29.21,"Benign neoplasm of right testis",108
F32.3,""Major depressive disorder",108
K70,"Alcoholic liver disease",108
C93.02,""Acute monoblastic/monocytic leukemia",108
D10.6,"Benign neoplasm of nasopharynx",108
B40.0,"Acute pulmonary blastomycosis",107
O99.355,"Diseases of the nervous system complicating the puerperium",106
B96.82,"Vibrio vulnificus as the cause of diseases classified elsewhere",105
D16.1,"Benign neoplasm of short bones of upper limb",105
E71.51,"Disorders of peroxisome biogenesis",105
C47,"Malignant neoplasm of peripheral nerves and autonomic nervous system",104
